17,460
583,188
243,238
118,8
151,216
102,192
117,241
61,88
115,153
86,248
12,52
154,586
229,76
279,487
263,468
252,495
59,458
304,61
80,496
68,531
62,497
138,511
158,30
206,494
286,513
67,154
135,505
194,512
230,16
200,217
333,498
431,13
334,478
317,222
208,271
316,49
58,273
169,540
123,476
55,492
162,306
225,58
307,9
340,45
401,2
429,198
320,435
455,544
198,548
435,570
439,33
205,552
417,246
312,210
342,537
195,474
331,301
433,169
65,55
60,387
425,333
78,308
192,275
88,7
400,362
314,12
445,349
110,207
204,378
179,69
24,277
81,477
260,384
322,115
437,231
561,547
239,550
247,323
553,143
310,321
552,561
403,319
557,66
420,464
533,510
153,461
413,121
114,318
142,298
559,543
327,75
542,276
319,383
536,161
238,370
97,388
45,566
486,6
383,126
203,256
207,399
43,522
332,158
475,269
444,536
471,394
1,167
558,506
465,481
487,560
234,201
214,251
50,40
421,366
337,355
448,282
399,245
171,385
469,345
329,527
468,215
235,382
273,263
434,484
57,191
495,62
254,39
459,549
341,445
84,418
51,21
506,398
245,457
124,372
53,375
318,204
274,36
501,346
129,179
136,412
2,281
265,110
19,232
511,558
5,453
518,554
498,35
147,562
26,391
98,83
534,173
396,535
177,129
311,546
148,237
591,296
578,249
454,599
197,430
125,486
66,219
183,551
246,64
175,4
137,285
565,63
73,236
15,152
27,571
321,194
289,300
282,200
111,218
308,459
306,149
402,1
398,525
567,101
335,392
71,109
48,340
42,555
458,575
63,347
577,351
89,444
462,415
294,81
330,5
290,280
186,48
52,60
236,365
241,239
167,369
440,447
74,266
116,359
172,374
130,538
463,123
299,454
442,51
481,390
441,199
555,226
69,419
544,442
31,397
325,288
541,432
313,261
324,151
339,205
338,111
161,402
213,135
305,203
13,287
491,257
155,265
150,314
315,128
144,524
280,71
524,292
521,25
49,264
543,582
598,274
264,331
72,197
499,3
411,166
336,28
297,473
127,450
438,176
109,358
328,114
146,65
473,150
569,96
227,131
76,475
309,78
233,157
545,18
256,189
240,491
493,98
516,130
249,361
210,545
386,156
496,413
579,572
588,93
131,84
538,147
485,420
507,423
529,356
326,438
530,116
34,206
349,85
412,141
406,134
75,142
562,100
519,328
512,424
531,520
576,233
70,312
128,427
32,516
223,553
539,338
18,329
302,196
6,504
546,119
180,299
85,132
37,470
39,250
343,127
4,342
38,26
380,409
451,27
350,184
582,326
522,523
190,310
196,43
251,348
359,579
189,17
122,343
346,406
126,289
77,509
370,286
83,431
120,357
587,411
478,360
410,211
178,20
510,11
387,587
79,260
281,488
461,209
408,440
392,214
357,53
244,363
140,465
278,82
592,247
405,436
262,112
181,350
94,272
288,262
397,136
258,443
266,594
93,80
259,94
29,46
368,334
366,79
103,133
575,304
149,320
222,422
515,393
372,170
488,155
589,429
40,441
563,41
253,244
373,573
105,580
502,400
464,410
165,193
28,242
374,106
56,462
163,517
267,467
185,10
394,59
16,270
568,34
8,54
453,578
47,56
574,89
139,309
215,284
520,190
573,426
596,499
472,125
354,305
382,585
268,322
427,278
344,576
159,137
191,19
250,433
532,103
452,466
218,97
160,597
362,293
231,324
356,187
414,515
377,519
494,563
556,32
300,341
295,568
500,368
95,439
508,493
119,404
489,42
426,295
232,534
14,353
54,502
10,195
526,373
9,469
404,303
390,449
549,396
152,463
46,72
548,258
237,311
269,371
581,377
173,91
509,471
389,108
580,290
600,583
157,596
44,140
145,354
415,455
391,315
513,73
64,592
36,178
480,259
104,163
585,521
593,230
22,22
551,380
275,437
466,14
133,416
248,533
423,567
550,138
193,395
217,317
572,172
446,212
364,221
323,107
460,589
347,47
385,417
107,95
378,364
351,564
517,514
369,452
353,565
504,50
358,482
503,307
87,139
20,104
11,87
166,252
255,182
30,316
381,590
170,407
594,448
261,421
257,569
293,451
283,164
566,414
168,591
270,408
219,90
422,294
7,376
393,117
371,279
363,556
365,332
301,224
379,124
418,490
292,530
477,313
597,434
199,15
547,148
296,92
571,229
212,557
287,381
497,99
595,38
35,165
272,584
3,489
428,528
554,598
298,581
484,539
21,508
303,254
23,113
467,68
352,243
523,159
276,480
490,185
457,472
375,24
141,386
277,37
537,175
345,327
156,181
419,344
113,367
284,446
560,122
25,102
570,57
505,227
100,479
535,526
271,171
376,574
476,70
33,255
92,120
106,168
220,86
355,456
430,339
449,532
216,352
590,23
360,29
384,183
424,428
184,401
291,529
242,44
285,302
82,118
482,389
470,223
174,213
96,240
432,518
112,67
540,595
447,507
479,74
188,174
409,160
201,483
407,541
202,177
514,31
361,577
599,588
416,403
90,220
143,500
483,600
528,325
348,235
367,144
108,105
388,208
450,379
182,405
91,146
132,162
121,145
221,253
134,593
211,291
564,268
99,425
41,503
101,225
527,186
456,297
586,228
164,485
436,336
584,180
176,559
525,542
474,501
443,330
209,267
226,283
224,335
187,234
395,202
228,337
492,77
